Time(ms),Location(m),Speed(m/s)
5000,450,90
5100,458.997,89.94
5200,467.994,90
5300,476.994,90
5400,485.994,90
5500,494.994,90
5600,503.994,90
5700,512.994,90
5800,521.994,90
5900,530.994,90
6000,539.994,90
6100,548.994,90
6200,557.994,90
6300,566.994,90
6400,575.994,90
6500,584.994,90
6600,593.994,90
6700,602.994,90
6800,611.994,90
6900,620.994,90
7000,629.994,90
7100,638.994,90
7200,647.994,90
7300,656.994,90
7400,665.994,90
7500,674.994,90
7600,683.994,90
7700,692.994,90
7800,701.994,90
7900,710.994,90
8000,719.994,90
8100,728.994,90
8200,737.994,90
8300,746.994,90
8400,755.994,90
8500,764.994,90
8600,773.994,90
8700,782.994,90
8800,791.994,90
8900,800.994,90
9000,809.994,90
9100,818.994,90
9200,827.994,90
9300,836.994,90
9400,845.994,90
9500,854.994,90
9600,863.994,90
9700,872.994,90
9800,881.994,90
9900,890.994,90
10000,899.994,90
10100,908.994,90
10200,917.994,90
10300,926.994,90
10400,935.994,90
10500,944.994,90
10600,953.994,90
10700,962.994,90
10800,971.994,90
10900,980.994,90
11000,989.994,90
11100,998.994,90
11200,1007.99,90
11300,1016.99,90
11400,1025.99,90
11500,1034.99,90
11600,1043.99,90
11700,1052.99,90
11800,1061.99,90
11900,1070.99,90
12000,1079.99,90
12100,1088.99,90
12200,1097.99,90
12300,1106.99,90
12400,1115.99,90
12500,1124.99,90
12600,1133.99,90
12700,1142.99,90
12800,1151.99,90
12900,1160.99,90
13000,1169.99,90
13100,1178.99,90
13200,1187.99,90
13300,1196.99,90
13400,1205.99,90
13500,1214.99,90
13600,1223.99,90
13700,1232.99,90
13800,1241.99,90
13900,1250.99,90
14000,1259.99,90
14100,1268.99,90
14200,1277.99,90
14300,1286.99,90
14400,1295.99,90
14500,1304.99,90
14600,1313.99,90
14700,1322.99,90
14800,1331.99,90
14900,1340.99,90
15000,1349.99,90
15100,1358.99,90
15200,1367.99,90
15300,1376.99,90
15400,1385.99,90
15500,1394.99,90
15600,1403.99,90
15700,1412.99,90
15800,1421.99,90
15900,1430.99,90
16000,1439.99,90
16100,1448.99,90
16200,1457.99,90
16300,1466.99,90
16400,1475.99,90
16500,1484.99,90
16600,1493.99,90
16700,1502.99,90
16800,1511.99,90
16900,1520.99,90
17000,1529.99,90
17100,1538.99,90
17200,1547.99,90
17300,1556.99,90
17400,1565.99,90
17500,1574.99,90
17600,1583.99,90
17700,1592.99,90
17800,1601.99,90
17900,1610.99,90
18000,1619.99,90
18100,1628.99,90
18200,1637.99,90
18300,1646.99,90
18400,1655.99,90
18500,1664.99,90
18600,1673.99,90
18700,1682.99,90
18800,1691.99,90
18900,1700.99,90
19000,1709.99,90
19100,1718.99,90
19200,1727.99,90
19300,1736.99,90
19400,1745.99,90
19500,1754.99,90
19600,1763.99,90
19700,1772.99,90
19800,1781.99,90
19900,1790.99,90
20000,1799.99,90
20100,1808.99,90
20200,1817.99,90
20300,1826.99,90
20400,1835.99,90
20500,1844.99,90
20600,1853.99,90
20700,1862.99,90
20800,1871.99,90
20900,1880.99,90
21000,1889.99,90
21100,1898.99,90
21200,1907.99,90
21300,1916.99,90
21400,1925.99,90
21500,1934.99,90
21600,1943.99,90
21700,1952.99,90
21800,1961.99,90
21900,1970.99,90
22000,1979.99,90
22100,1988.99,90
22200,1997.99,90
22300,2006.99,90
22400,2015.99,90
22500,2024.99,90
22600,2033.99,90
22700,2042.99,90
22800,2051.99,90
22900,2060.99,90
23000,2069.99,90
23100,2078.99,90
23200,2087.99,90
23300,2096.99,90
23400,2105.99,90
23500,2114.99,90
23600,2123.99,90
23700,2132.99,90
23800,2141.99,90
23900,2150.99,90
24000,2159.99,90
24100,2168.99,90
24200,2177.99,90
24300,2186.99,90
24400,2195.99,90
24500,2204.99,90
24600,2213.99,90
24700,2222.99,90
24800,2231.99,90
24900,2240.99,90
25000,2249.99,90
25100,2258.99,90
25200,2267.99,90
25300,2276.99,90
25400,2285.99,90
25500,2294.99,90
25600,2303.99,90
25700,2312.99,90
25800,2321.99,90
25900,2330.99,90
26000,2339.99,90
26100,2348.99,90
26200,2357.99,90
26300,2366.99,90
26400,2375.99,90
26500,2384.99,90
26600,2393.99,90
26700,2402.99,90
26800,2411.99,90
26900,2420.99,90
27000,2429.99,90
27100,2438.99,90
27200,2447.99,90
27300,2456.99,90
27400,2465.99,90
27500,2474.99,90
27600,2483.99,90
27700,2492.99,90
27800,2501.99,90
27900,2510.99,90
28000,2519.99,90
28100,2528.99,90
28200,2537.99,90
28300,2546.99,90
28400,2555.99,90
28500,2564.99,90
28600,2573.99,90
28700,2582.99,90
28800,2591.99,90
28900,2600.99,90
29000,2609.99,90
29100,2618.99,90
29200,2627.99,90
29300,2636.99,90
29400,2645.99,90
29500,2654.99,90
29600,2663.99,90
29700,2672.99,90
29800,2681.99,90
29900,2690.99,90
30000,2699.99,90
30100,2708.99,90
30200,2717.99,90
30300,2726.99,90
30400,2735.99,90
30500,2744.99,90
30600,2753.99,90
30700,2762.99,90
30800,2771.99,90
30900,2780.99,90
31000,2789.99,90
31100,2798.99,90
31200,2807.99,90
31300,2816.99,90
31400,2825.99,90
31500,2834.99,90
31600,2843.99,90
31700,2852.99,90
31800,2861.99,90
31900,2870.99,90
32000,2879.99,90
32100,2888.99,90
32200,2897.99,90
32300,2906.99,90
32400,2915.99,90
32500,2924.99,90
32600,2933.99,90
32700,2942.99,90
32800,2951.99,90
32900,2960.99,90
33000,2969.99,90
33100,2978.99,90
33200,2987.99,90
33300,2996.99,90
33400,3005.99,90
33500,3014.99,90
33600,3023.99,90
33700,3032.99,90
33800,3041.99,90
33900,3050.99,90
34000,3059.99,90
34100,3068.99,90
34200,3077.99,90
34300,3086.99,90
34400,3095.99,90
34500,3104.99,90
34600,3113.99,90
34700,3122.99,90
34800,3131.99,90
34900,3140.99,90
35000,3149.99,90
35100,3158.99,90
35200,3167.99,90
35300,3176.99,90
35400,3185.99,90
35500,3194.99,90
35600,3203.99,90
35700,3212.99,90
35800,3221.99,90
35900,3230.99,90
36000,3239.99,90
36100,3248.99,90
36200,3257.99,90
36300,3266.99,90
36400,3275.99,90
36500,3284.99,90
36600,3293.99,90
36700,3302.99,90
36800,3311.99,90
36900,3320.99,90
37000,3329.99,90
37100,3338.99,90
37200,3347.99,90
37300,3356.99,90
37400,3365.99,90
37500,3374.99,90
37600,3383.99,90
37700,3392.99,90
37800,3401.99,90
37900,3410.99,90
38000,3419.99,90
38100,3428.99,90
38200,3437.99,90
38300,3446.99,90
38400,3455.99,90
38500,3464.99,90
38600,3473.99,90
38700,3482.99,90
38800,3491.99,90
38900,3500.99,90
39000,3509.99,90
39100,3518.99,90
39200,3527.99,90
39300,3536.99,90
39400,3545.99,90
39500,3554.99,90
39600,3563.99,90
39700,3572.99,90
39800,3581.99,90
39900,3590.99,90
40000,3599.99,90
40100,3608.99,90
40200,3617.99,90
40300,3626.99,90
40400,3635.99,90
40500,3644.99,90
40600,3653.99,90
40700,3662.99,90
40800,3671.99,90
40900,3680.99,90
41000,3689.99,90
41100,3698.99,90
41200,3707.99,90
41300,3716.99,90
41400,3725.99,90
41500,3734.99,90
41600,3743.99,90
41700,3752.99,90
41800,3761.99,90
41900,3770.99,90
42000,3779.99,90
42100,3788.99,90
42200,3797.99,90
42300,3806.99,90
42400,3815.99,90
42500,3824.99,90
42600,3833.99,90
42700,3842.99,90
42800,3851.99,90
42900,3860.99,90
43000,3869.99,90
43100,3878.99,90
43200,3887.99,90
43300,3896.99,90
43400,3905.99,90
43500,3914.99,90
43600,3923.99,90
43700,3932.99,90
43800,3941.99,90
43900,3950.99,90
44000,3959.99,90
44100,3968.99,90
44200,3977.99,90
44300,3986.99,90
44400,3995.99,90
44500,4004.99,90
44600,4013.99,90
44700,4022.99,90
44800,4031.99,90
44900,4040.99,90
45000,4049.99,90
45100,4058.99,90
45200,4067.99,90
45300,4076.99,90
45400,4085.99,90
45500,4094.99,90
45600,4103.99,90
45700,4112.99,90
45800,4121.99,90
45900,4130.99,90
46000,4139.99,90
46100,4148.99,90
